imgnetid,wnid,word,gloss
301,n02165456,"ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle",small round bright-colored and spotted beetle that usually feeds on aphids and other insect pests
302,n02167151,"ground beetle, carabid beetle",predacious shining black or metallic terrestrial beetle that destroys many injurious insects
303,n02168699,"long-horned beetle, longicorn, longicorn beetle",long-bodied beetle having very long antennae
304,n02169497,"leaf beetle, chrysomelid",brightly colored beetle that feeds on plant leaves; larvae infest roots and stems
305,n02172182,dung beetle,any of numerous beetles that roll balls of dung on which they feed and in which they lay eggs
306,n02174001,rhinoceros beetle,any of various large chiefly tropical beetles having horns on the head; pest on coconuts
307,n02177972,weevil,any of several families of mostly small beetles that feed on plants and plant products; especially snout beetles and seed beetles
308,n02190166,fly,two-winged insects characterized by active flight
309,n02206856,bee,any of numerous hairy-bodied insects including social and solitary species
310,n02219486,"ant, emmet, pismire",social insect living in organized colonies; characteristically the males and fertile queen have wings during breeding season; wingless sterile females are the workers
311,n02226429,"grasshopper, hopper",terrestrial plant-eating insect with hind legs adapted for leaping
312,n02229544,cricket,leaping insect; male makes chirping noises by rubbing the forewings together
313,n02231487,"walking stick, walkingstick, stick insect",any of various mostly tropical insects having long twiglike bodies
314,n02233338,"cockroach, roach",any of numerous chiefly nocturnal insects; some are domestic pests
315,n02236044,"mantis, mantid",predacious long-bodied large-eyed insect of warm regions; rests with forelimbs raised as in prayer
316,n02256656,"cicada, cicala",stout-bodied insect with large membranous wings; male has drum-like organs for producing a high-pitched drone
317,n02259212,leafhopper,small leaping insect that sucks the juices of plants
318,n02264363,"lacewing, lacewing fly",any of two families of insects with gauzy wings (Chrysopidae and Hemerobiidae); larvae feed on insect pests such as aphids
319,n02268443,"dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk",slender-bodied non-stinging insect having iridescent wings that are outspread at rest; adults and nymphs feed on mosquitoes etc.
320,n02268853,damselfly,slender non-stinging insect similar to but smaller than the dragonfly but having wings folded when at rest
321,n02276258,admiral,any of several brightly colored butterflies
322,n02277742,"ringlet, ringlet butterfly",any of various butterflies belonging to the family Satyridae
323,n02279972,"monarch, monarch butterfly, milkweed butterfly, Danaus plexippus",large migratory American butterfly having deep orange wings with black and white markings; the larvae feed on milkweed
324,n02280649,cabbage butterfly,white butterfly whose larvae (cabbageworms) feed on cabbage
325,n02281406,"sulphur butterfly, sulfur butterfly",any of numerous yellow or orange butterflies
326,n02281787,"lycaenid, lycaenid butterfly",any of various butterflies of the family Lycaenidae
327,n02317335,"starfish, sea star",echinoderms characterized by five arms extending from a central disk
328,n02319095,sea urchin,shallow-water echinoderms having soft bodies enclosed in thin spiny globular shells
329,n02321529,"sea cucumber, holothurian","echinoderm having a flexible sausage-shaped body, tentacles surrounding the mouth and tube feet; free-living mud feeders"
330,n02325366,"wood rabbit, cottontail, cottontail rabbit",common small rabbit of North America having greyish or brownish fur and a tail with a white underside; a host for Ixodes pacificus and Ixodes scapularis (Lyme disease ticks)
331,n02326432,hare,swift timid long-eared mammal larger than a rabbit having a divided upper lip and long hind legs; young born furred and with open eyes
332,n02328150,"Angora, Angora rabbit",domestic breed of rabbit with long white silky hair
333,n02342885,hamster,short-tailed Old World burrowing rodent with large cheek pouches
334,n02346627,"porcupine, hedgehog",relatively large rodents with sharp erectile bristles mingled with the fur
335,n02356798,"fox squirrel, eastern fox squirrel, Sciurus niger",exceptionally large arboreal squirrel of eastern United States
336,n02361337,marmot,stocky coarse-furred burrowing rodent with a short bushy tail found throughout the northern hemisphere; hibernates in winter
337,n02363005,beaver,large semiaquatic rodent with webbed hind feet and a broad flat tail; construct complex dams and underwater lodges
338,n02364673,"guinea pig, Cavia cobaya",stout-bodied nearly tailless domesticated cavy; often kept as a pet and widely used in research
339,n02389026,sorrel,a horse of a brownish orange to light brown color
340,n02391049,zebra,any of several fleet black-and-white striped African equines
341,n02395406,"hog, pig, grunter, squealer, Sus scrofa",domestic swine
342,n02396427,"wild boar, boar, Sus scrofa",Old World wild swine having a narrow body and prominent tusks from which most domestic swine come; introduced in United States
343,n02397096,warthog,African wild swine with warty protuberances on the face and large protruding tusks
344,n02398521,"hippopotamus, hippo, river horse, Hippopotamus amphibius",massive thick-skinned herbivorous animal living in or around rivers of tropical Africa
345,n02403003,ox,an adult castrated bull of the genus Bos; especially Bos taurus
346,n02408429,"water buffalo, water ox, Asiatic buffalo, Bubalus bubalis",an Asian buffalo that is often domesticated for use as a draft animal
347,n02410509,bison,any of several large humped bovids having shaggy manes and large heads and short horns
348,n02412080,"ram, tup","uncastrated adult male sheep; ""a British term is `tup'"""
349,n02415577,"bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis",wild sheep of mountainous regions of western North America having massive curled horns
350,n02417914,"ibex, Capra ibex",wild goat of mountain areas of Eurasia and northern Africa having large recurved horns
351,n02422106,hartebeest,a large African antelope with lyre-shaped horns that curve backward
352,n02422699,"impala, Aepyceros melampus",African antelope with ridged curved horns; moves with enormous leaps
353,n02423022,gazelle,small swift graceful antelope of Africa and Asia having lustrous eyes
354,n02437312,"Arabian camel, dromedary, Camelus dromedarius",one-humped camel of the hot deserts of northern Africa and southwestern Asia
355,n02437616,llama,wild or domesticated South American cud-chewing animal related to camels but smaller and lacking a hump
356,n02441942,weasel,small carnivorous mammal with short legs and elongated body and neck
357,n02442845,mink,slender-bodied semiaquatic mammal having partially webbed feet; valued for its fur
358,n02443114,"polecat, fitch, foulmart, foumart, Mustela putorius",dark brown mustelid of woodlands of Eurasia that gives off an unpleasant odor when threatened
359,n02443484,"black-footed ferret, ferret, Mustela nigripes",musteline mammal of prairie regions of United States; nearly extinct
360,n02444819,otter,freshwater carnivorous mammal having webbed and clawed feet and dark brown fur
361,n02445715,"skunk, polecat, wood pussy",American musteline mammal typically ejecting an intensely malodorous fluid when startled; in some classifications put in a separate subfamily Mephitinae
362,n02447366,badger,sturdy carnivorous burrowing mammal with strong claws; widely distributed in the northern hemisphere
363,n02454379,armadillo,burrowing chiefly nocturnal mammal with body covered with strong horny plates
364,n02457408,"three-toed sloth, ai, Bradypus tridactylus",a sloth that has three long claws on each forefoot and each hindfoot
365,n02480495,"orangutan, orang, orangutang, Pongo pygmaeus",large long-armed ape of Borneo and Sumatra having arboreal habits
366,n02480855,"gorilla, Gorilla gorilla",largest anthropoid ape; terrestrial and vegetarian; of forests of central west Africa
367,n02481823,"chimpanzee, chimp, Pan troglodytes",intelligent somewhat arboreal ape of equatorial African forests
368,n02483362,"gibbon, Hylobates lar",smallest and most perfectly anthropoid arboreal ape having long arms and no tail; of southern Asia and East Indies
369,n02483708,"siamang, Hylobates syndactylus, Symphalangus syndactylus",large black gibbon of Sumatra having the 2nd and 3rd toes partially united by a web
370,n02484975,"guenon, guenon monkey",small slender African monkey having long hind limbs and tail and long hair around the face
371,n02486261,"patas, hussar monkey, Erythrocebus patas",reddish long-tailed monkey of west Africa
372,n02486410,baboon,large terrestrial monkeys having doglike muzzles
373,n02487347,macaque,short-tailed monkey of rocky regions of Asia and Africa
374,n02488291,langur,slender long-tailed monkey of Asia
375,n02488702,"colobus, colobus monkey",arboreal monkey of western and central Africa with long silky fur and reduced thumbs
376,n02489166,"proboscis monkey, Nasalis larvatus",Borneo monkey having a long bulbous nose
377,n02490219,marmoset,small soft-furred South American and Central American monkey with claws instead of nails
378,n02492035,"capuchin, ringtail, Cebus capucinus",monkey of Central America and South America having thick hair on the head that resembles a monk's cowl
379,n02492660,"howler monkey, howler",monkey of tropical South American forests having a loud howling cry
380,n02493509,"titi, titi monkey",small South American monkeys with long beautiful fur and long nonprehensile tail
381,n02493793,"spider monkey, Ateles geoffroyi",arboreal monkey of tropical America with long slender legs and long prehensile tail
382,n02494079,"squirrel monkey, Saimiri sciureus",small long-tailed monkey of Central American and South America with greenish fur and black muzzle
383,n02497673,"Madagascar cat, ring-tailed lemur, Lemur catta",small lemur having its tail barred with black
384,n02500267,"indri, indris, Indri indri, Indri brevicaudatus",large short-tailed lemur of Madagascar having thick silky fur in black and white and fawn
385,n02504013,"Indian elephant, Elephas maximus",Asian elephant having smaller ears and tusks primarily in the male
386,n02504458,"African elephant, Loxodonta africana",an elephant native to Africa having enormous flapping ears and ivory tusks
387,n02509815,"lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens",reddish-brown Old World raccoon-like carnivore; in some classifications considered unrelated to the giant pandas
388,n02510455,"giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca",large black-and-white herbivorous mammal of bamboo forests of China and Tibet; in some classifications considered a member of the bear family or of a separate family Ailuropodidae
389,n02514041,"barracouta, snoek","a large marine food fish common on the coasts of Australia, New Zealand, and southern Africa"
390,n02526121,eel,voracious snakelike marine or freshwater fishes with smooth slimy usually scaleless skin and having a continuous vertical fin but no ventral fins
391,n02536864,"coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch",small salmon of northern Pacific coasts and the Great Lakes
392,n02606052,"rock beauty, Holocanthus tricolor",gold and black butterflyfish found from West Indies to Brazil
393,n02607072,anemone fish,live associated with sea anemones
394,n02640242,sturgeon,large primitive fishes valued for their flesh and roe; widely distributed in the North Temperate Zone
395,n02641379,"gar, garfish, garpike, billfish, Lepisosteus osseus",primitive predaceous North American fish covered with hard scales and having long jaws with needlelike teeth
396,n02643566,lionfish,brightly striped fish of the tropical Pacific having elongated spiny fins
397,n02655020,"puffer, pufferfish, blowfish, globefish",any of numerous marine fishes whose elongated spiny body can inflate itself with water or air to form a globe; several species contain a potent nerve poison; closely related to spiny puffers
398,n02666196,abacus,a calculator that performs arithmetic functions by manually sliding counters on rods or in grooves
399,n02667093,abaya,(Arabic) a loose black robe from head to toe; traditionally worn by Muslim women
400,n02669723,"academic gown, academic robe, judge's robe",a gown worn by academics or judges
401,n02672831,"accordion, piano accordion, squeeze box",a portable box-shaped free-reed instrument; the reeds are made to vibrate by air from the bellows controlled by the player
402,n02676566,acoustic guitar,sound is not amplified by electrical means
403,n02687172,"aircraft carrier, carrier, flattop, attack aircraft carrier",a large warship that carries planes and has a long flat deck for takeoffs and landings
404,n02690373,airliner,a commercial airplane that carries passengers
405,n02692877,"airship, dirigible",a steerable self-propelled aircraft
406,n02699494,altar,a raised structure on which gifts or sacrifices to a god are made
407,n02701002,ambulance,a vehicle that takes people to and from hospitals
408,n02704792,"amphibian, amphibious vehicle",a flat-bottomed motor vehicle that can travel on land or water
409,n02708093,analog clock,a clock that displays the time of day by the position of hands on a dial
410,n02727426,"apiary, bee house",a shed containing a number of beehives
411,n02730930,apron,a garment of cloth or leather or plastic that is tied about the waist and worn to protect your clothing
412,n02747177,"ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin",a bin that holds rubbish until it is collected
413,n02749479,"assault rifle, assault gun",any of the automatic rifles or semiautomatic rifles with large magazines designed for military use
414,n02769748,"backpack, back pack, knapsack, packsack, rucksack, haversack",a bag carried by a strap on your back or shoulder
415,n02776631,"bakery, bakeshop, bakehouse",a workplace where baked goods (breads and cakes and pastries) are produced or sold
416,n02777292,"balance beam, beam",a gymnastic apparatus used by women gymnasts
417,n02782093,balloon,large tough nonrigid bag filled with gas or heated air
418,n02783161,"ballpoint, ballpoint pen, ballpen, Biro",a pen that has a small metal ball as the point of transfer of ink to paper
419,n02786058,Band Aid,trade name for an adhesive bandage to cover small cuts or blisters
420,n02787622,banjo,a stringed instrument of the guitar family that has long neck and circular body
421,n02788148,"bannister, banister, balustrade, balusters, handrail",a railing at the side of a staircase or balcony to prevent people from falling
422,n02790996,barbell,a bar to which heavy discs are attached at each end; used in weightlifting
423,n02791124,barber chair,a large fixed adjustable chair in which barbers seat their customers
424,n02791270,barbershop,a shop where men can get their hair cut
425,n02793495,barn,an outlying farm building for storing grain or animal feed and housing farm animals
426,n02794156,barometer,an instrument that measures atmospheric pressure
427,n02795169,"barrel, cask",a cylindrical container that holds liquids
428,n02797295,"barrow, garden cart, lawn cart, wheelbarrow",a cart for carrying small loads; has handles and one or more wheels
429,n02799071,baseball,a ball used in playing baseball
430,n02802426,basketball,an inflated ball used in playing basketball
431,n02804414,bassinet,a basket (usually hooded) used as a baby's bed
432,n02804610,bassoon,a double-reed instrument; the tenor of the oboe family
433,n02807133,"bathing cap, swimming cap",a tight-fitting cap that keeps hair dry while swimming
434,n02808304,bath towel,a large towel; to dry yourself after a bath
435,n02808440,"bathtub, bathing tub, bath, tub",a relatively large open container that you fill with water and use to wash the body
436,n02814533,"beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon",a car that has a long body and rear door with space behind rear seat
437,n02814860,"beacon, lighthouse, beacon light, pharos",a tower with a light that gives warning of shoals to passing ships
438,n02815834,beaker,a flatbottomed jar made of glass or plastic; used for chemistry
439,n02817516,"bearskin, busby, shako",tall hat; worn by some British soldiers on ceremonial occasions
440,n02823428,beer bottle,a bottle that holds beer
441,n02823750,beer glass,a relatively large glass for serving beer
442,n02825657,"bell cote, bell cot",a small shelter for bells; has a gable or shed roof
443,n02834397,bib,top part of an apron; covering the chest
444,n02835271,"bicycle-built-for-two, tandem bicycle, tandem",a bicycle with two sets of pedals and two seats
445,n02837789,"bikini, two-piece",a woman's very brief bathing suit
446,n02840245,"binder, ring-binder",holds loose papers or magazines
447,n02841315,"binoculars, field glasses, opera glasses",an optical instrument designed for simultaneous use by both eyes
448,n02843684,birdhouse,a shelter for birds
449,n02859443,boathouse,a shed at the edge of a river or lake; used to store boats
450,n02860847,"bobsled, bobsleigh, bob",a long racing sled (for 2 or more people) with a steering mechanism
451,n02865351,"bolo tie, bolo, bola tie, bola",a cord fastened around the neck with an ornamental clasp and worn as a necktie
452,n02869837,"bonnet, poke bonnet",a hat tied under the chin
453,n02870880,bookcase,a piece of furniture with shelves for storing books
454,n02871525,"bookshop, bookstore, bookstall",a shop where books are sold
455,n02877765,bottlecap,a cap that seals a bottle
456,n02879718,bow,"a weapon for shooting arrows, composed of a curved piece of resilient wood with a taut cord to propel the arrow"
457,n02883205,"bow tie, bow-tie, bowtie",a man's tie that ties in a bow
458,n02892201,"brass, memorial tablet, plaque",a memorial made of brass
459,n02892767,"brassiere, bra, bandeau",an undergarment worn by women to support their breasts
460,n02894605,"breakwater, groin, groyne, mole, bulwark, seawall, jetty",a protective structure of stone or concrete; extends from shore into the water to prevent a beach from washing away
461,n02895154,"breastplate, aegis, egis",armor plate that protects the chest; the front part of a cuirass
462,n02906734,broom,a cleaning implement for sweeping; bundle of straws or twigs attached to a long handle
463,n02909870,"bucket, pail",a roughly cylindrical vessel that is open at the top
464,n02910353,buckle,fastener that fastens together two ends of a belt or strap; often has loose prong
465,n02916936,bulletproof vest,a vest capable of resisting the impact of a bullet
466,n02917067,"bullet train, bullet",a high-speed passenger train
467,n02927161,"butcher shop, meat market",a shop in which meat and poultry (and sometimes fish) are sold
468,n02930766,"cab, hack, taxi, taxicab",a car driven by a person whose job is to take passengers where they want to go in exchange for money
469,n02939185,"caldron, cauldron",a very large pot that is used for boiling
470,n02948072,"candle, taper, wax light",stick of wax with a wick in the middle
471,n02950826,cannon,heavy gun fired from a tank
472,n02951358,canoe,small and light boat; pointed at both ends; propelled with a paddle
473,n02951585,"can opener, tin opener",a device for cutting cans open
474,n02963159,cardigan,knitted jacket that is fastened up the front with buttons or a zipper
475,n02965783,car mirror,a mirror that the driver of a car can use
476,n02966193,"carousel, carrousel, merry-go-round, roundabout, whirligig","a large, rotating machine with seats for children to ride or amusement"
477,n02966687,"carpenter's kit, tool kit",a set of carpenter's tools
478,n02971356,carton,a box made of cardboard; opens by flaps on top
479,n02974003,car wheel,a wheel that has a tire and rim and hubcap; used to propel the car
480,n02977058,"cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM",an unattended machine (outside some banks) that dispenses money when a personal coded card is used
481,n02978881,cassette,a container that holds a magnetic tape used for recording or playing sound or video
482,n02979186,cassette player,electronic equipment for playing cassettes
483,n02980441,castle,a large building formerly occupied by a ruler and fortified against attack
484,n02981792,catamaran,a sailboat with two parallel hulls held together by single deck
485,n02988304,CD player,a stand-alone piece of electronic equipment that either has its own display or attaches to a television set
486,n02992211,"cello, violoncello",a large stringed instrument; seated player holds it upright while playing
487,n02992529,"cellular telephone, cellular phone, cellphone, cell, mobile phone","a hand-held mobile radiotelephone for use in an area divided into small sections, each with its own short-range transmitter/receiver"
488,n02999410,chain,a series of (usually metal) rings or links fitted into one another to make a flexible ligament
489,n03000134,chainlink fence,a fence of steel wires woven into a diamond pattern
490,n03000247,"chain mail, ring mail, mail, chain armor, chain armour, ring armor, ring armour",(Middle Ages) flexible armor made of interlinked metal rings
491,n03000684,"chain saw, chainsaw",portable power saw; teeth linked to form an endless chain
492,n03014705,chest,box with a lid; used for storage; usually large and sturdy
493,n03016953,"chiffonier, commode",a tall elegant chest of drawers
494,n03017168,"chime, bell, gong",a percussion instrument consisting of a set of tuned bells that are struck with a hammer; used as an orchestral instrument
495,n03018349,"china cabinet, china closet",a cabinet (usually with glass doors) for storing and displaying china
496,n03026506,Christmas stocking,a stocking that is filled with small Christmas presents
497,n03028079,"church, church building","a place for public (especially Christian) worship; ""the church was empty"""
498,n03032252,"cinema, movie theater, movie theatre, movie house, picture palace",a theater where films are shown
499,n03041632,"cleaver, meat cleaver, chopper",a butcher's knife having a large square blade
500,n03042490,cliff dwelling,"a rock and adobe dwelling built on sheltered ledges in the sides of a cliff; ""the Anasazi built cliff dwellings in the southwestern United States"""
501,n03045698,cloak,anything that covers or conceals
502,n03047690,"clog, geta, patten, sabot",footwear usually with wooden soles
503,n03062245,cocktail shaker,a shaker for mixing cocktails
504,n03063599,coffee mug,a mug intended for serving coffee
505,n03063689,coffeepot,tall pot in which coffee is brewed
506,n03065424,"coil, spiral, volute, whorl, helix","a structure consisting of something wound in a continuous series of loops; ""a coil of rope"""
507,n03075370,combination lock,lock that can be opened only by turning dials in a special sequence
508,n03085013,"computer keyboard, keypad",a keyboard that is a data input device for computers; arrangement of keys is modelled after the typewriter keyboard
509,n03089624,"confectionery, confectionary, candy store",a confectioner's shop
510,n03095699,"container ship, containership, container vessel","a cargo ship designed to hold containerized cargoes; ""the weight of the documentation of all the consignments on board a contemporary container ship can exceed 90 pounds"""
511,n03100240,convertible,a car that has top that can be folded or removed
512,n03109150,"corkscrew, bottle screw",a bottle opener that pulls corks
513,n03110669,"cornet, horn, trumpet, trump",a brass musical instrument with a brilliant tone; has a narrow tube and a flared bell and is played by means of valves
514,n03124043,cowboy boot,a boot with a high arch and fancy stitching; worn by American cowboys
515,n03124170,"cowboy hat, ten-gallon hat",a hat with a wide brim and a soft crown; worn by American ranch hands
516,n03125729,cradle,a baby bed with sides and rockers
517,n03126707,crane,lifts and moves heavy objects; lifting tackle is suspended from a pivoted boom that rotates around a vertical axis
518,n03127747,crash helmet,a padded helmet worn by people riding bicycles or motorcycles; protects the head in case of accidents
519,n03127925,crate,a rugged box (usually made of wood); used for shipping
520,n03131574,"crib, cot",baby bed with high sides made of slats
521,n03133878,Crock Pot,an electric cooker that maintains a relatively low temperature
522,n03134739,croquet ball,a wooden ball used in playing croquet
523,n03141823,crutch,a wooden or metal staff that fits under the armpit and reaches to the ground; used by disabled person while walking
524,n03146219,cuirass,medieval body armor that covers the chest and back
525,n03160309,"dam, dike, dyke",a barrier constructed to contain the flow of water or to keep out the sea
526,n03179701,desk,a piece of furniture with a writing surface and usually drawers or other compartments
527,n03180011,desktop computer,a personal computer small enough to fit conveniently in an individual workspace
528,n03187595,"dial telephone, dial phone",a telephone with a dial for registering the number to be called
529,n03188531,"diaper, nappy, napkin",garment consisting of a folded cloth drawn up between the legs and fastened at the waist; worn by infants to catch excrement
530,n03196217,digital clock,a clock that displays the time of day digitally
531,n03197337,digital watch,a watch with a digital display
532,n03201208,"dining table, board","a table at which meals are served; ""he helped her clear the dining table""; ""a feast was spread upon the board"""
533,n03207743,"dishrag, dishcloth",a cloth for washing dishes
534,n03207941,"dishwasher, dish washer, dishwashing machine",a machine for washing dishes
535,n03208938,"disk brake, disc brake",hydraulic brake in which friction is applied to both sides of a spinning disk by the brake pads
536,n03216828,"dock, dockage, docking facility","landing in a harbor next to a pier where ships are loaded and unloaded or repaired; may have gates to let water in or out; ""the ship arrived at the dock more than a day late"""
537,n03218198,"dogsled, dog sled, dog sleigh",a sled pulled by dogs
538,n03220513,dome,a hemispherical roof
539,n03223299,"doormat, welcome mat",a mat placed outside an exterior door for wiping the shoes before entering
540,n03240683,"drilling platform, offshore rig",drilling rig consisting of an offshore platform (floating or fixed to the sea bed) from which many oil wells can be bored radially
541,n03249569,"drum, membranophone, tympan",a musical percussion instrument; usually consists of a hollow cylinder with a membrane stretched across each end
542,n03250847,drumstick,a stick used for playing a drum
543,n03255030,dumbbell,an exercising weight; two spheres connected by a short bar that serves as a handle
544,n03259280,Dutch oven,an oven consisting of a metal box for cooking in front of a fire
545,n03271574,"electric fan, blower",a fan run by an electric motor
546,n03272010,electric guitar,a guitar whose sound is amplified by electrical means
547,n03272562,electric locomotive,a locomotive that is powered by an electric motor
548,n03290653,entertainment center,a wall unit containing sound and television systems
549,n03291819,envelope,"a flat (usually rectangular) container for a letter, thin package, etc."
550,n03297495,espresso maker,a coffee maker that forces live steam under pressure through dark roasted coffee grounds
551,n03314780,face powder,cosmetic powder for the face
552,n03325584,"feather boa, boa",a long thin fluffy scarf of feathers or fur
553,n03337140,"file, file cabinet, filing cabinet",office furniture consisting of a container for keeping papers in order
554,n03344393,fireboat,a boat equipped to fight fires on ships or along a waterfront
555,n03345487,"fire engine, fire truck",any of various large trucks that carry firemen and equipment to the site of a fire
556,n03347037,"fire screen, fireguard",a metal screen before an open fire for protection (especially against flying sparks)
557,n03355925,"flagpole, flagstaff",a tall staff or pole on which a flag is raised
558,n03372029,"flute, transverse flute",a high-pitched woodwind instrument; a slender tube closed at one end with finger holes on one end and an opening near the closed end across which the breath is blown
559,n03376595,folding chair,a chair that can be folded flat for storage
560,n03379051,football helmet,a padded helmet with a face mask to protect the head of football players
561,n03384352,forklift,a small industrial vehicle with a power operated forked platform in front that can be inserted under loads to lift and move them
562,n03388043,fountain,a structure from which an artificially produced jet of water arises
563,n03388183,fountain pen,a pen that is supplied with ink from a reservoir in its barrel
564,n03388549,four-poster,a bed with posts at the four corners that can be used to support a canopy or curtains
565,n03393912,freight car,a railway car that carries freight
566,n03394916,"French horn, horn",a brass musical instrument consisting of a conical tube that is coiled into a spiral and played by means of valves
567,n03400231,"frying pan, frypan, skillet",a pan used for frying foods
568,n03404251,fur coat,a coat made of fur
569,n03417042,"garbage truck, dustcart","a truck for collecting domestic refuse; ""in Britain a garbage truck is called a dustcart"""
570,n03424325,"gasmask, respirator, gas helmet",a protective mask with a filter; protects the face and lungs against poisonous gases
571,n03425413,"gas pump, gasoline pump, petrol pump, island dispenser",a pump in a service station that draws gasoline from underground storage tanks
572,n03443371,goblet,a drinking glass with a base and stem
573,n03444034,go-kart,a small low motor vehicle with four wheels and an open framework; used for racing
574,n03445777,golf ball,a small hard ball used in playing golf; dimpled to reduce wind resistance
575,n03445924,"golfcart, golf cart",a small motor vehicle in which golfers can ride between shots
576,n03447447,gondola,long narrow flat-bottomed boat propelled by sculling; traditionally used on canals of Venice
577,n03447721,"gong, tam-tam",a percussion instrument consisting of a metal plate that is struck with a softheaded drumstick
578,n03450230,gown,"a woman's dress, usually with a close-fitting bodice and a long flared skirt, often worn on formal occasions"
579,n03452741,"grand piano, grand",a piano with the strings on a horizontal harp-shaped frame; usually supported by three legs
580,n03457902,"greenhouse, nursery, glasshouse",a building with glass walls and roof; for the cultivation and exhibition of plants under controlled conditions
581,n03459775,"grille, radiator grille",grating that admits cooling air to car's radiator
582,n03461385,"grocery store, grocery, food market, market","a marketplace where groceries are sold; ""the grocery store included a meat market"""
583,n03467068,guillotine,instrument of execution that consists of a weighted blade between two vertical poles; used for beheading people
584,n03476684,hair slide,a decorative hinged clip that girls and women put in their hair to hold it in place
585,n03476991,hair spray,toiletry consisting of a commercial preparation that is sprayed on the hair to hold it in place
586,n03478589,half track,a motor vehicle propelled by half tracks; frequently used by the military
587,n03481172,hammer,a hand tool with a heavy rigid head and a handle; used to deliver an impulsive force by striking
588,n03482405,hamper,a basket usually with a cover
589,n03483316,"hand blower, blow dryer, blow drier, hair dryer, hair drier",a hand-held electric blower that can blow warm air onto the hair; used for styling hair
590,n03485407,"hand-held computer, hand-held microcomputer",a portable battery-powered computer small enough to be carried in your pocket
591,n03485794,"handkerchief, hankie, hanky, hankey",a square piece of cloth used for wiping the eyes or nose or as a costume accessory
592,n03492542,"hard disc, hard disk, fixed disk",a rigid magnetic disk mounted permanently in a drive unit
593,n03494278,"harmonica, mouth organ, harp, mouth harp",a small rectangular free-reed instrument having a row of free reeds set back in air holes and played by blowing into the desired hole
594,n03495258,harp,a chordophone that has a triangular frame consisting of a sounding board and a pillar and a curved neck; the strings stretched between the neck and the soundbox are plucked with the fingers
595,n03496892,"harvester, reaper",farm machine that gathers a food crop from the fields
596,n03498962,hatchet,a small ax with a short handle used with one hand (usually to chop wood)
597,n03527444,holster,a sheath (usually leather) for carrying a handgun
598,n03529860,"home theater, home theatre",television and video equipment designed to reproduce in the home the experience of being in a movie theater
599,n03530642,honeycomb,a framework of hexagonal cells resembling the honeycomb built by bees
600,n03532672,"hook, claw",a mechanical device that is curved or bent to suspend or hold or pull something
601,n03534580,"hoopskirt, crinoline",a skirt stiffened with hoops
602,n03535780,"horizontal bar, high bar",gymnastic apparatus consisting of a bar supported in a horizontal position by uprights at both ends
603,n03538406,"horse cart, horse-cart",heavy cart; drawn by a horse; used for farm work
604,n03544143,hourglass,a sandglass that runs for sixty minutes
605,n03584254,iPod,(trademark) a pocket-sized device used to play music files
606,n03584829,"iron, smoothing iron",home appliance consisting of a flat metal base that is heated and used to smooth cloth
607,n03590841,jack-o'-lantern,lantern carved from a pumpkin
608,n03594734,"jean, blue jean, denim",(usually plural) close-fitting trousers of heavy denim for manual work or casual wear
609,n03594945,"jeep, landrover",a car suitable for traveling over rough terrain
610,n03595614,"jersey, T-shirt, tee shirt",a close-fitting pullover shirt
611,n03598930,jigsaw puzzle,a puzzle that requires you to reassemble a picture that has been mounted on a stiff base and cut into interlocking pieces
612,n03599486,"jinrikisha, ricksha, rickshaw",a small two-wheeled cart for one passenger; pulled by one person
613,n03602883,joystick,a manual control consisting of a vertical handle that can move freely in two directions; used as an input device to computers or to devices controlled by computers
614,n03617480,kimono,a loose robe; imitated from robes originally worn by Japanese
615,n03623198,knee pad,protective garment consisting of a pad worn by football or baseball or hockey players
616,n03627232,knot,any of various fastenings formed by looping and tying a rope (or cord) upon itself or to another rope or to another object
617,n03630383,"lab coat, laboratory coat",a light coat worn to protect clothing from substances used while working in a laboratory
618,n03633091,ladle,a spoon-shaped vessel with a long handle; frequently used to transfer liquids from one container to another
619,n03637318,"lampshade, lamp shade",a protective ornamental shade used to screen a light bulb from direct view
620,n03642806,"laptop, laptop computer",a portable computer small enough to use in your lap
621,n03649909,"lawn mower, mower",garden tool for mowing grass on lawns
622,n03657121,"lens cap, lens cover",cap used to keep lens free of dust when not in use
623,n03658185,"letter opener, paper knife, paperknife",dull knife used to cut open the envelopes in which letters are mailed or to slit uncut pages of books
624,n03661043,library,a building that houses a collection of books and other materials
625,n03662601,lifeboat,a strong sea boat designed to rescue people from a sinking ship
626,n03666591,"lighter, light, igniter, ignitor","a device for lighting or igniting fuel or charges or fires; ""do you have a light?"""
627,n03670208,"limousine, limo",large luxurious car; usually driven by a chauffeur
628,n03673027,"liner, ocean liner",a large commercial ship (especially one that carries passengers on a regular schedule)
